no,tipe,query,kode_ground_truth,rank_SQL_None,top1_SQL_None,top3_SQL_None,top10_SQL_None,rr_SQL_None,rank_SQL_Basic,top1_SQL_Basic,top3_SQL_Basic,top10_SQL_Basic,rr_SQL_Basic,rank_SQL_Advanced,top1_SQL_Advanced,top3_SQL_Advanced,top10_SQL_Advanced,rr_SQL_Advanced,rank_Hybrid_None,top1_Hybrid_None,top3_Hybrid_None,top10_Hybrid_None,rr_Hybrid_None,rank_Hybrid_Basic,top1_Hybrid_Basic,top3_Hybrid_Basic,top10_Hybrid_Basic,rr_Hybrid_Basic,rank_Hybrid_Advanced,top1_Hybrid_Advanced,top3_Hybrid_Advanced,top10_Hybrid_Advanced,rr_Hybrid_Advanced
31,KBJI,kasir,5230,3,0,1,1,0.3333,3,0,1,1,0.3333,3,0,1,1,0.3333,1,1,1,1,1.0,1,1,1,1,1.0,1,1,1,1,1.0
32,KBJI,kasir toko,5230,1,1,1,1,1.0,1,1,1,1,1.0,1,1,1,1,1.0,1,1,1,1,1.0,1,1,1,1,1.0,1,1,1,1,1.0
33,KBJI,sopir,8322,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0
34,KBJI,sopir truk,8332,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0
35,KBJI,admin,4110,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0
36,KBJI,admin kantor,4110,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0
37,KBJI,kurir,9621,2,0,1,1,0.5,2,0,1,1,0.5,2,0,1,1,0.5,1,1,1,1,1.0,1,1,1,1,1.0,1,1,1,1,1.0
38,KBJI,kurir paket,9621,2,0,1,1,0.5,2,0,1,1,0.5,2,0,1,1,0.5,1,1,1,1,1.0,1,1,1,1,1.0,1,1,1,1,1.0
39,KBJI,tukang bangunan,7111,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0
40,KBJI,tukang listrik rumah,7411,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,8,0,0,1,0.125
41,KBJI,teknisi ac,7127,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0
