no,tipe,query,kode_ground_truth,rank_SQL_None,top1_SQL_None,top3_SQL_None,top10_SQL_None,rr_SQL_None,rank_SQL_Basic,top1_SQL_Basic,top3_SQL_Basic,top10_SQL_Basic,rr_SQL_Basic,rank_SQL_Advanced,top1_SQL_Advanced,top3_SQL_Advanced,top10_SQL_Advanced,rr_SQL_Advanced,rank_Hybrid_None,top1_Hybrid_None,top3_Hybrid_None,top10_Hybrid_None,rr_Hybrid_None,rank_Hybrid_Basic,top1_Hybrid_Basic,top3_Hybrid_Basic,top10_Hybrid_Basic,rr_Hybrid_Basic,rank_Hybrid_Advanced,top1_Hybrid_Advanced,top3_Hybrid_Advanced,top10_Hybrid_Advanced,rr_Hybrid_Advanced
1,KBLI,bakso,56101,6,0,0,1,0.1667,6,0,0,1,0.1667,6,0,0,1,0.1667,2,0,1,1,0.5,2,0,1,1,0.5,2,0,1,1,0.5
2,KBLI,jualan bakso,56101,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0
3,KBLI,warung kopi,56303,1,1,1,1,1.0,1,1,1,1,1.0,1,1,1,1,1.0,1,1,1,1,1.0,1,1,1,1,1.0,1,1,1,1,1.0
4,KBLI,usaha restoran,56101,0,0,0,0,0.0,0,0,0,0,0.0,6,0,0,1,0.1667,0,0,0,0,0.0,0,0,0,0,0.0,1,1,1,1,1.0
5,KBLI,usaha laundry,96100,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0
6,KBLI,jasa cuci pakaian,96100,2,0,1,1,0.5,2,0,1,1,0.5,4,0,0,1,0.25,1,1,1,1,1.0,1,1,1,1,1.0,1,1,1,1,1.0
7,KBLI,bengkel motor,95320,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0
8,KBLI,servis mobil,95311,2,0,1,1,0.5,2,0,1,1,0.5,2,0,1,1,0.5,1,1,1,1,1.0,1,1,1,1,1.0,1,1,1,1,1.0
9,KBLI,ekspedisi,53200,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0
10,KBLI,jasa pengiriman barang,53200,2,0,1,1,0.5,2,0,1,1,0.5,0,0,0,0,0.0,1,1,1,1,1.0,1,1,1,1,1.0,0,0,0,0,0.0
11,KBLI,toko sembako,47112,1,1,1,1,1.0,1,1,1,1,1.0,1,1,1,1,1.0,1,1,1,1,1.0,1,1,1,1,1.0,1,1,1,1,1.0
12,KBLI,sembako,47112,1,1,1,1,1.0,1,1,1,1,1.0,1,1,1,1,1.0,1,1,1,1,1.0,1,1,1,1,1.0,1,1,1,1,1.0
13,KBLI,toko bangunan,47521,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0
14,KBLI,usaha kos-kosan,55909,1,1,1,1,1.0,1,1,1,1,1.0,1,1,1,1,1.0,1,1,1,1,1.0,1,1,1,1,1.0,1,1,1,1,1.0
15,KBLI,usaha perkebunan cabe,01138,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0
16,KBLI,jual sayur di pasar,47213,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0
17,KBLI,toko pakaian,47711,5,0,0,1,0.2,5,0,0,1,0.2,6,0,0,1,0.1667,2,0,1,1,0.5,2,0,1,1,0.5,2,0,1,1,0.5
