no,tipe,query,preprocessed,kode_gt,rank,top1,top3,top10,rr
1,KBLI,MENCABUT RUMPUT LIAR DI SAWAH(MATON),cabut rumput liar sawah maton,01122,1,1,1,1,1.0
2,KBJI,MENCABUT RUMPUT LIAR DI SAWAH(MATON),cabut rumput liar sawah maton,9211,1,1,1,1,1.0
3,KBLI,"MEMBUAT LEMARI KACA/ ETALASE, MENGANTAR PESANAN LEMARI KACA",buat lemari kaca etalase antar pesan,31011,1,1,1,1,1.0
4,KBJI,"MEMBUAT LEMARI KACA/ ETALASE, MENGANTAR PESANAN LEMARI KACA",buat lemari kaca etalase antar pesan,7523,1,1,1,1,1.0
5,KBLI,PERTANIAN,tani,01122,0,0,0,0,0.0
6,KBJI,PERTANIAN,tani,9211,0,0,0,0,0.0
7,KBLI,MEMBUAT RESOLES UNTUK DIJUAL DIPASAR KAMPUNG,buat resoles jual pasar kampung,47249,1,1,1,1,1.0
8,KBJI,MEMBUAT RESOLES UNTUK DIJUAL DIPASAR KAMPUNG,buat resoles jual pasar kampung,5212,1,1,1,1,1.0
9,KBLI,MENGAJAR MATA PELAJARAN PKN DI MTS TAHASSUS ALQURAN,ajar mata pkn mts tahassus alquran,85316,1,1,1,1,1.0
10,KBJI,MENGAJAR MATA PELAJARAN PKN DI MTS TAHASSUS ALQURAN,ajar mata pkn mts tahassus alquran,2330,0,0,0,0,0.0
11,KBLI,"KARYAWAN BAGIAN PRODUKSI, PEMOTONGAN KAYU SESUAI UKURAN AKHIR DIPABRIK KAYU LAI",karyawan produksi potong kayu sesuai ukur akhir pabrik lai,16211,1,1,1,1,1.0
12,KBJI,"KARYAWAN BAGIAN PRODUKSI, PEMOTONGAN KAYU SESUAI UKURAN AKHIR DIPABRIK KAYU LAI",karyawan produksi potong kayu sesuai ukur akhir pabrik lai,9329,1,1,1,1,1.0
13,KBLI,PERTANIAN PADI,tani padi,01122,2,0,1,1,0.5
14,KBJI,PERTANIAN PADI,tani padi,6111,2,0,1,1,0.5
15,KBLI,PERTANIAN BAWANG MERAH HORTIKULTURAL DI SAWAH MILIK ORANG LAIN,tani bawang merah hortikultural sawah milik,01134,1,1,1,1,1.0
16,KBJI,PERTANIAN BAWANG MERAH HORTIKULTURAL DI SAWAH MILIK ORANG LAIN,tani bawang merah hortikultural sawah milik,9211,1,1,1,1,1.0
17,KBLI,KONTRUKSI RUMAH DI DESA,kontruksi rumah desa,41011,1,1,1,1,1.0
18,KBJI,KONTRUKSI RUMAH DI DESA,kontruksi rumah desa,7112,1,1,1,1,1.0
19,KBLI,PERDAGANGAN BARANG BEKAS UNTUK DIJUAL LAGI,dagang barang bekas jual lagi,47749,1,1,1,1,1.0
20,KBJI,PERDAGANGAN BARANG BEKAS UNTUK DIJUAL LAGI,dagang barang bekas jual lagi,5249,1,1,1,1,1.0
21,KBLI,PEDAGANG MOTOR DI RUMAH SENDIRI,motor rumah sendiri,47832,1,1,1,1,1.0
22,KBJI,PEDAGANG MOTOR DI RUMAH SENDIRI,motor rumah sendiri,5249,1,1,1,1,1.0
23,KBLI,JASA TRANSPORTASI,transportasi,49231,0,0,0,0,0.0
24,KBJI,JASA TRANSPORTASI,transportasi,8322,0,0,0,0,0.0
25,KBLI,PENYEDIA BHAN BAKU MAKANAN,sedia bhan baku makan,47213,1,1,1,1,1.0
26,KBJI,PENYEDIA BHAN BAKU MAKANAN,sedia bhan baku makan,9520,0,0,0,0,0.0
27,KBLI,TUKANG BATU,batu,41011,0,0,0,0,0.0
28,KBJI,TUKANG BATU,batu,7111,0,0,0,0,0.0
29,KBLI,PERTANIAN BAWANG MERAH HORTIKULTURAL SAWAH MILIK ORANG LAIN,tani bawang merah hortikultural sawah milik,01134,1,1,1,1,1.0
30,KBJI,PERTANIAN BAWANG MERAH HORTIKULTURAL SAWAH MILIK ORANG LAIN,tani bawang merah hortikultural sawah milik,9211,1,1,1,1,1.0
31,KBLI,PERTANIAN PADI DI SAWAH MILIK SENDIRI,tani padi sawah milik sendiri,01122,1,1,1,1,1.0
