no,tipe,query,preprocessed,kode_gt,rank,top1,top3,top10,rr
1,KBLI,MENCABUT RUMPUT LIAR DI SAWAH(MATON),"liar maton mencabut pertanian rumput sawah tanaman pangan | +KBLI: lahan tani padi, sawah padi, usaha tani | +KBJI: buruh matun sawah, pekerja sawah, tukang cabut rumput",01122,1,1,1,1,1.0
2,KBJI,MENCABUT RUMPUT LIAR DI SAWAH(MATON),"liar maton mencabut pertanian rumput sawah tanaman pangan | +KBLI: lahan tani padi, sawah padi, usaha tani | +KBJI: buruh matun sawah, pekerja sawah, tukang cabut rumput",9211,2,0,1,1,0.5
3,KBLI,"MEMBUAT LEMARI KACA/ ETALASE, MENGANTAR PESANAN LEMARI KACA","etalase kaca lemari membuat mengantar pesanan | +KBLI: bengkel kaca etalase, toko lemari kaca, usaha rak kaca | +KBJI: pengrajin lemari kaca, sopir antar lemari, tukang bikin etalase",31011,1,1,1,1,1.0
4,KBJI,"MEMBUAT LEMARI KACA/ ETALASE, MENGANTAR PESANAN LEMARI KACA","etalase kaca lemari membuat mengantar pesanan | +KBLI: bengkel kaca etalase, toko lemari kaca, usaha rak kaca | +KBJI: pengrajin lemari kaca, sopir antar lemari, tukang bikin etalase",7523,1,1,1,1,1.0
5,KBLI,PERTANIAN,"pertanian | +KBLI: lahan kebun, sektor pertanian, usaha tani | +KBJI: buruh tani, pekerja ladang, petani",01122,0,0,0,0,0.0
6,KBJI,PERTANIAN,"pertanian | +KBLI: lahan kebun, sektor pertanian, usaha tani | +KBJI: buruh tani, pekerja ladang, petani",9211,0,0,0,0,0.0
7,KBLI,MEMBUAT RESOLES UNTUK DIJUAL DIPASAR KAMPUNG,"dijual dipasar kampung membuat resoles | +KBLI: katering gorengan, produksi risoles, usaha jajanan pasar | +KBJI: pembuat gorengan, penjual snack, tukang masak risoles",47249,1,1,1,1,1.0
8,KBJI,MEMBUAT RESOLES UNTUK DIJUAL DIPASAR KAMPUNG,"dijual dipasar kampung membuat resoles | +KBLI: katering gorengan, produksi risoles, usaha jajanan pasar | +KBJI: pembuat gorengan, penjual snack, tukang masak risoles",5212,1,1,1,1,1.0
9,KBLI,MENGAJAR MATA PELAJARAN PKN DI MTS TAHASSUS ALQURAN,"alquran mata mengajar mts pelajaran pkn tahassus | +KBLI: instansi pendidikan, lembaga sekolah, sekolah mts | +KBJI: guru pkn, pendidik honorer, pengajar madrasah",85316,1,1,1,1,1.0
10,KBJI,MENGAJAR MATA PELAJARAN PKN DI MTS TAHASSUS ALQURAN,"alquran mata mengajar mts pelajaran pkn tahassus | +KBLI: instansi pendidikan, lembaga sekolah, sekolah mts | +KBJI: guru pkn, pendidik honorer, pengajar madrasah",2330,0,0,0,0,0.0
11,KBLI,"KARYAWAN BAGIAN PRODUKSI, PEMOTONGAN KAYU SESUAI UKURAN AKHIR DIPABRIK KAYU LAI",akhir dipabrik karyawan kayu lai pemotongan produksi sesuai,16211,1,1,1,1,1.0
12,KBJI,"KARYAWAN BAGIAN PRODUKSI, PEMOTONGAN KAYU SESUAI UKURAN AKHIR DIPABRIK KAYU LAI",akhir dipabrik karyawan kayu lai pemotongan produksi sesuai,9329,1,1,1,1,1.0
13,KBLI,PERTANIAN PADI,"padi pertanian | +KBLI: lahan kebun, lahan sawah padi, pertanian pangan | +KBJI: buruh tanam padi, buruh tani, pekerja ladang",01122,2,0,1,1,0.5
14,KBJI,PERTANIAN PADI,"padi pertanian | +KBLI: lahan kebun, lahan sawah padi, pertanian pangan | +KBJI: buruh tanam padi, buruh tani, pekerja ladang",6111,2,0,1,1,0.5
15,KBLI,PERTANIAN BAWANG MERAH HORTIKULTURAL DI SAWAH MILIK ORANG LAIN,"bawang hortikultural merah milik pertanian sawah tanaman pangan | +KBLI: kebun bawang merah, lahan bawang, lahan kebun | +KBJI: buruh harian bawang, buruh petik bawang, buruh tani",01134,1,1,1,1,1.0
16,KBJI,PERTANIAN BAWANG MERAH HORTIKULTURAL DI SAWAH MILIK ORANG LAIN,"bawang hortikultural merah milik pertanian sawah tanaman pangan | +KBLI: kebun bawang merah, lahan bawang, lahan kebun | +KBJI: buruh harian bawang, buruh petik bawang, buruh tani",9211,1,1,1,1,1.0
17,KBLI,KONTRUKSI RUMAH DI DESA,"bangunan desa hunian konstruksi kontruksi rumah | +KBLI: jasa bangun rumah, kontraktor kampung, proyek bangun rumah | +KBJI: kepala tukang, kuli bangunan proyek, tukang bangunan rumah",41011,1,1,1,1,1.0
18,KBJI,KONTRUKSI RUMAH DI DESA,"bangunan desa hunian konstruksi kontruksi rumah | +KBLI: jasa bangun rumah, kontraktor kampung, proyek bangun rumah | +KBJI: kepala tukang, kuli bangunan proyek, tukang bangunan rumah",7112,1,1,1,1,1.0
19,KBLI,PERDAGANGAN BARANG BEKAS UNTUK DIJUAL LAGI,"barang bekas dijual lagi perdagangan | +KBLI: lapak loak, toko barang bekas, usaha jual beli second | +KBJI: bakul loak, pedagang barang second, penjual barang bekas",47749,1,1,1,1,1.0
