no,query,kode_ground_truth,tipe
1,bakso,56101,KBLI
2,jualan bakso,56101,KBLI
3,warung kopi,56303,KBLI
4,usaha restoran,56101,KBLI
5,usaha laundry,96100,KBLI
6,jasa cuci pakaian,96100,KBLI
7,bengkel motor,95320,KBLI
8,servis mobil,95311,KBLI
9,ekspedisi,53200,KBLI
10,jasa pengiriman barang,53200,KBLI
11,toko sembako,47112,KBLI
12,sembako,47112,KBLI
13,toko bangunan,47521,KBLI
14,usaha kos-kosan,55909,KBLI
15,usaha perkebunan cabe,01138,KBLI
16,jual sayur di pasar,47213,KBLI
17,toko pakaian,47711,KBLI
18,jual baju online,47711,KBLI
19,usaha katering,56210,KBLI
20,produksi roti rumahan,10710,KBLI
21,usaha air minum isi ulang,11052,KBLI
22,toko elektronik,47592,KBLI
23,jual pulsa,61201,KBLI
24,jasa fotokopi,82100,KBLI
25,usaha percetakan,18111,KBLI
26,jasa cleaning service,81210,KBLI
27,rental mobil,77100,KBLI
28,usaha penginapan homestay,55201,KBLI
29,peternakan ayam,01461,KBLI
30,usaha online shop,47711,KBLI
31,kasir,5230,KBJI
32,kasir toko,5230,KBJI
33,sopir,8322,KBJI
34,sopir truk,8332,KBJI
35,admin,4110,KBJI
36,admin kantor,4110,KBJI
37,kurir,9621,KBJI
38,kurir paket,9621,KBJI
39,tukang bangunan,7111,KBJI
40,tukang listrik rumah,7411,KBJI
41,teknisi ac,7127,KBJI
42,cleaning service kantor,9112,KBJI
43,buruh pabrik harian,9329,KBJI
44,penjaga toko sembako,5223,KBJI
45,tukang kayu bangunan,7115,KBJI
46,resepsionis hotel,4224,KBJI
47,petugas call center,4222,KBJI
48,staf keuangan,4312,KBJI
49,operator mesin pengemas,8183,KBJI
50,operator forklift,8344,KBJI
51,admin gudang,4321,KBJI
52,sales toko,5223,KBJI
53,teknisi jaringan komputer,3513,KBJI
54,montir bengkel,7231,KBJI
55,sopir pribadi,8322,KBJI
56,koki restoran,5120,KBJI
57,barista kafe,5132,KBJI
58,satpam kantor,5414,KBJI
59,guru sekolah dasar,2341,KBJI
60,perawat rumah sakit,2221,KBJI
