Kategori,Kode,Judul,Deskripsi
A,01,"PERTANIAN TANAMAN, PETERNAKAN, PERBURUAN, DAN KEGIATAN JASA TERKAIT","Golongan pokok ini mencakup dua kegiatan dasar yakni produksi tanaman dan hewan, yang meliputi kegiatan pertanian tanaman pangan, perkebunan, dan hortikultura; kegiatan pemeliharaan hewan; perburuan dan penangkapan; serta kegiatan jasa yang terkait. Golongan pokok ini mencakup pertanian di lahan terbuka, di bawah penutup, atau di rumah kaca. Golongan pokok ini juga mencakup budi daya tanaman tanpa tanah, seperti hidroponik dan akuaponik. Kegiatan pertanian tidak mencakup kegiatan pengolahan dari komoditas pertanian yang termasuk dalam kategori C (industri). Penyiapan produk untuk pasar primer (pasar tempat produk dijual pertama kali) termasuk dalam golongan pokok ini. Kegiatan konstruksi lahan seperti pembuatan petak-petak sawah, saluran irigasi, saluran pembuangan air, serta pembersihan dan perbaikan lahan untuk pertanian tidak termasuk di sini, tetapi termasuk dalam kategori konstruksi (F). Pembeli dan asosiasi kooperatif yang bergerak di bidang pemasaran hasil pertanian diklasifikasikan pada kategori G."
A,02,PENGELOLAAN KEHUTANAN DAN PEMANENAN KAYU,"Golongan pokok ini mencakup kegiatan silvikultur, produksi kayu bulat, serta ekstraksi dan pemungutan produk hutan bukan kayu yang tumbuh secara liar. Selain produksi kayu, kegiatan kehutanan juga menghasilkan produk yang hanya melalui sedikit pemrosesan, seperti kayu bakar, arang, dan kayu bulat yang digunakan dalam bentuk yang tidak diproses (contohnya pit-props, kayu pulp/pulpwood). Kegiatan ini dapat dilakukan di hutan alam, hutan semialami, atau hutan tanaman. Golongan pokok ini tidak mencakup pengolahan lanjutan dari kayu yang dimulai dengan penggergajian dan penyerutan kayu, lihat golongan pokok 16."
A,03,PERIKANAN,"Golongan pokok ini mencakup penangkapan dan budi daya ikan, pengumpulan ikan, krustasea, moluska, dan biota air lainnya dari air laut, air payau, atau air tawar (misalnya tanaman air, mutiara, dan karang). Golongan pokok ini juga mencakup aktivitas jasa insidental terkait penangkapan atau budi daya ikan di air laut, air payau, atau air tawar. Golongan pokok ini tidak mencakup pembuatan dan reparasi kapal dan perahu, lihat subgolongan 3011, 3315; pemrosesan ikan, krustasea, atau moluska, baik di pabrik yang di darat ataupun pabrik yang di kapal, lihat golongan 102; olahraga atau aktivitas rekreasi pemancingan, lihat subgolongan 9319."
B,05,PERTAMBANGAN BATU BARA DAN LIGNIT,"Golongan pokok ini mencakup ekstraksi bahan bakar mineral padat melalui penambangan bawah tanah atau terbuka (misalnya penggolongan, pembersihan, pemadatan, dan langkah-langkah lain yang diperlukan untuk diangkut) yang menghasilkan produk yang siap untuk dipasarkan. Golongan pokok ini tidak mencakup pengolahan batubara menjadi kokas (lihat subgolongan 1910); jasa pertambangan batubara atau lignit (lihat subgolongan 0990); pembuatan briket (lihat subgolongan 1920)."
B,06,PERTAMBANGAN MINYAK BUMI MENTAH DAN GAS ALAM,"Golongan pokok ini mencakup produksi minyak bumi mentah, pertambangan dan ekstraksi/pengambilan minyak dari serpihan minyak dan pasir minyak, produksi gas alam, serta pemulihan cairan hidrokarbon. Golongan pokok ini juga mencakup kegiatan pengoperasian dan/atau pengembangan lokasi penambangan minyak dan gas. Kegiatan dalam golongan pokok ini dapat mencakup pengeboran, penyelesaian dan perlengkapan sumur; pengoperasian separator, pemisah emulsi, peralatan pemisah garam dan pipa pengumpulan minyak bumi mentah; dan aktivitas lainnya pada tahap persiapan minyak dan gas dari lokasi produksi hingga ke titik pengiriman."
B,07,PERTAMBANGAN BIJIH LOGAM,"Golongan pokok ini mencakup pertambangan bijih logam, yang dilakukan melalui penambangan bawah tanah, penambangan terbuka (open-cast), dasar laut, dan lain-lain. Golongan pokok ini juga mencakup peningkatan manfaat, seperti penghancuran, pengasahan, pencucian, pengeringan, penyinteran (pemanasan tanpa pelelehan), pengalsinasian (pemanasan sampai oksidasi) dan peluruhan bijih logam, serta operasi pengapungan dan pemisahan dengan gaya berat (gravitasi)."
B,08,PERTAMBANGAN DAN PENGGALIAN LAINNYA,"Golongan pokok ini mencakup pengambilan mineral dari tambang dan galian, juga pengerukan tanah endapan, penghancuran batu, dan pengambilan garam. Sebagian besar hasil pertambangan dan penggalian mineral ini digunakan pada bidang konstruksi (pasir, batu dan lain-lain), pengolahan bahan galian (tanah liat, gips, kapur dan lain-lain), pembuatan bahan-bahan kimia, dan lain-lain. Golongan pokok ini juga mencakup ekstraksi garam dari air laut, air garam, dan air asin lainnya. Golongan pokok ini tidak mencakup pembuatan bahan kimia dan produk dari bahan kimia, logam dasar, produk yang dibuat dari mineral tidak mengandung logam, dan pengolahan lebih lanjut lainnya dari hasil pertambangan, lihat kategori C."
B,09,AKTIVITAS JASA PENUNJANG PERTAMBANGAN,"Golongan pokok ini mencakup jasa penunjang yang dikhususkan untuk pertambangan atas dasar balas jasa atau kontrak. Golongan pokok ini mencakup jasa eksplorasi dengan cara pencarian tradisional, seperti pengambilan contoh bijih logam dan melakukan observasi geologi dengan cara pengeboran, pengeboran percobaan, atau pengeboran ulang sumur minyak, mineral logam, dan bukan logam. Jasa khusus lainnya mencakup pembangunan fondasi sumur minyak dan gas, penyemenan pinggiran sumur minyak dan gas, pembersihan, penimbaan dan pengepelan sumur minyak dan gas, serta pemompaan dan pengeringan tambang."
C,10,INDUSTRI MAKANAN,"Golongan pokok ini mencakup pengolahan produk pertanian, kehutanan, dan perikanan menjadi makanan, baik untuk manusia maupun hewan, dan mencakup produk setengah jadi/produk antara yang tidak secara langsung menjadi produk makanan, tetapi nilainya dapat lebih besar atau lebih kecil (misalnya kulit dari pemotongan hewan dan bungkil dari pembuatan minyak). Golongan pokok ini terdiri dari kegiatan yang berhubungan dengan berbagai macam produk makanan, seperti daging, ikan, buah-buahan dan sayursayuran, lemak dan minyak, produk susu, produk penggilingan bijibijian, pakan hewan, dan produk makanan lainnya."
C,11,INDUSTRI MINUMAN,"Golongan pokok ini mencakup pembuatan minuman, seperti minuman tidak beralkohol dan air mineral, minuman beralkohol yang dibuat melalui fermentasi, bir dan anggur, dan minuman beralkohol yang disuling/didistilasi. Golongan pokok ini juga mencakup pembuatan malt."
