No;Tipe;Keyword;"Target Resmi";"SQL LIKE Top 1";"SQL LIKE Top 2";"SQL LIKE Top 3";"Skor SQL LIKE";"Hybrid Top 1";"Hybrid Top 2";"Hybrid Top 3";"Skor Hybrid Search";Keterangan
;"--- KBLI 2025 ---";;;;;;;;;;;
1;KBLI;bakso;56101;10120;10296;47245;0;10120;47245;10296;0;"SQL LIKE gagal. Hybrid tidak tepat."
2;KBLI;laundry;96100;27520;13921;27510;0;96100;27520;13921;3;"SQL LIKE gagal. Hybrid tepat."
3;KBLI;bengkel;95320;30200;38121;43120;0;95320;95311;33122;3;"SQL LIKE gagal. Hybrid tepat."
4;KBLI;ekspedisi;53200;;;;0;49221;53200;52311;2;"SQL LIKE gagal. Hybrid posisi 2."
5;KBLI;sembako;47112;;;;0;;;;0;"SQL LIKE gagal. Hybrid tidak tepat."
6;KBLI;"jualan bakso";56101;;;;0;47245;47246;10218;0;"SQL LIKE gagal. Hybrid tidak tepat."
7;KBLI;"warung kopi";56303;;;;0;56303;01271;47243;3;"SQL LIKE gagal. Hybrid tepat."
8;KBLI;"toko bangunan";47521;;;;0;41014;70203;46738;0;"SQL LIKE gagal. Hybrid tidak tepat."
9;KBLI;"bengkel motor";95320;;;;0;46630;95320;95311;2;"SQL LIKE gagal. Hybrid posisi 2."
10;KBLI;"usaha laundry";96100;;;;0;96100;06100;;3;"SQL LIKE gagal. Hybrid tepat."
11;KBLI;"usaha jualan bakso keliling";56109;;;;0;56306;56102;47245;2;"SQL LIKE gagal. Hybrid posisi 2."
12;KBLI;"toko sembako di kampung";47112;;;;0;47112;47111;47211;3;"SQL LIKE gagal. Hybrid tepat."
13;KBLI;"usaha perkebunan cabe";0113;;;;0;01138;01281;;3;"SQL LIKE gagal. Hybrid tepat."
14;KBLI;"jasa pengiriman barang";53200;;;;0;52319;;;0;"SQL LIKE gagal. Hybrid tidak tepat."
15;KBLI;"usaha kos kosan";55909;;;;0;55909;;;3;"SQL LIKE gagal. Hybrid tepat."
;"--- KBJI 2014 ---";;;;;;;;;;;
16;KBJI;kasir;5230;523099;522201;5230;3;5230;523099;522201;3;"Hybrid tepat."
17;KBJI;sopir;8322;3258;;;0;3258;;;0;"SQL LIKE gagal. Hybrid tidak tepat."
18;KBJI;tukang;711;9510;9611;711499;1;9611;711499;931302;2;"Hybrid posisi 2."
19;KBJI;admin;4110;351401;4;412000;0;351401;4;441699;0;"SQL LIKE gagal. Hybrid tidak tepat."
20;KBJI;kurir;9621;962;9621;962199;3;9621;962199;962101;3;"Hybrid tepat."
21;KBJI;"tukang bangunan";7112;711401;;;3;931399;311299;711401;1;"Hybrid posisi 3."
22;KBJI;"sopir truk";8332;;;;0;833299;933201;9333;3;"SQL LIKE gagal. Hybrid tepat."
23;KBJI;"kasir toko";5230;5230;523001;;3;5230;523001;522399;3;"Hybrid tepat."
24;KBJI;"kurir paket";9621;;;;0;962101;3332;333201;3;"SQL LIKE gagal. Hybrid tepat."
25;KBJI;"admin kantor";4110;;;;0;4;422101;334199;0;"SQL LIKE gagal. Hybrid tidak tepat."
26;KBJI;"penjaga toko sembako";5223;;;;0;5223;522299;522399;3;"SQL LIKE gagal. Hybrid tepat."
27;KBJI;"buruh pabrik harian";9329;;;;0;312;921101;921501;0;"SQL LIKE gagal. Hybrid tidak tepat."
28;KBJI;"tukang listrik rumah";7411;;;;0;215101;311301;515201;0;"SQL LIKE gagal. Hybrid tidak tepat."
29;KBJI;"teknisi ac rumahan";7127;;;;0;311299;311599;;0;"SQL LIKE gagal. Hybrid tidak tepat."
30;KBJI;"cleaning service kantor";9112;;;;0;911203;;;3;"SQL LIKE gagal. Hybrid tepat."
;;;;;;"TOTAL SQL";13;;;"TOTAL HYBRID";51;"Maks: 90 poin (30 x 3)"
;;;;;;"Akurasi SQL";14.4%;;;"Akurasi Hybrid";56.7%;
